,type,avg,std,min,p5,p10,p50,p67,p75,p80,p85,p90,p95,p99,p999,p9999,QPS,target,start,elapsed_time
85,read,428.8,423.8,173.5,226.1,242.2,400.1,474.8,511.6,534.5,560.3,592.6,649.4,845.7,5923.3,13304.3,16942.3,16889,2023-05-25 04:22:22.923125,14.166666666666666
86,read,403.0,414.0,173.5,216.6,228.5,337.6,428.9,486.5,527.3,570.6,621.3,696.5,963.9,4841.6,12795.9,42926.2,42912,2023-05-25 04:22:32.923125,14.333333333333334
87,read,382.2,407.6,160.7,218.7,230.2,319.7,377.3,415.5,447.6,491.1,550.7,669.8,1145.9,4313.2,13115.9,99925.9,99898,2023-05-25 04:22:42.923125,14.5
88,read,417.6,445.4,173.5,220.3,232.9,367.8,465.1,514.6,543.4,576.0,616.9,684.6,895.1,4282.7,29128.5,26410.0,26385,2023-05-25 04:22:52.923125,14.666666666666666
89,read,425.8,486.6,160.7,221.3,235.0,379.8,471.9,517.1,544.4,575.1,613.2,677.0,926.9,5596.0,14094.1,22611.3,22616,2023-05-25 04:23:02.923125,14.833333333333334
90,read,392.6,399.5,160.7,215.4,227.2,326.8,411.3,466.6,508.7,555.0,608.5,687.5,958.8,4283.3,13176.7,50550.1,50605,2023-05-25 04:23:12.923125,15.0
91,read,361.0,321.7,160.7,213.9,225.3,307.6,363.2,399.2,429.7,469.1,526.1,624.4,1028.3,3848.8,12366.3,90210.3,90283,2023-05-25 04:23:22.923125,15.166666666666666
92,read,408.1,262.2,160.7,219.6,232.0,365.0,459.5,508.5,537.7,570.8,611.9,676.4,894.7,3232.5,9114.7,26326.2,26273,2023-05-25 04:23:32.923125,15.333333333333334
93,read,395.3,409.2,160.7,216.3,227.9,329.8,413.2,467.9,510.2,554.8,608.1,688.6,991.6,4521.5,16319.0,48680.8,48521,2023-05-25 04:23:42.923125,15.5
94,read,407.5,347.6,160.7,219.2,231.3,350.9,447.6,502.3,537.4,575.8,623.8,695.8,930.6,3550.4,15434.0,34035.8,34058,2023-05-25 04:23:52.923125,15.666666666666666
95,read,372.2,314.6,160.7,215.7,227.2,313.7,376.3,419.4,454.7,500.3,559.2,661.6,1074.2,3740.4,9997.3,75646.0,75648,2023-05-25 04:24:02.923125,15.833333333333334
