#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      367.6   388.0   160.7   213.2   225.1   309.9   367.0   403.8   435.7   478.8   540.0   639.2  1049.6  4379.3 12664.5  86449.7    86505
read      363.2   398.3   160.7   213.4   225.3   308.4   361.9   396.3   425.5   465.0   523.4   620.2  1019.9  4299.2 12835.7  93097.7    93039
read      371.3   351.2   160.7   214.1   226.0   313.5   374.5   417.6   453.3   499.9   560.6   656.4   996.6  4148.0 12457.1  76027.4    75999
read      412.2   307.7   160.7   217.5   229.8   352.4   458.8   518.9   556.1   593.8   639.5   709.6   917.1  4019.7 10109.6  32321.9    32324
read      359.0   397.5   160.7   211.6   223.6   304.5   358.8   395.5   426.6   467.9   527.4   617.9   922.0  4392.6 14849.7  84263.4    84255
read      374.6   351.4   160.7   214.9   226.6   314.1   374.9   416.4   450.9   496.6   558.4   661.1  1077.8  4044.1 12557.7  81866.4    81759
read      408.8   379.7   160.7   215.8   228.3   344.1   444.4   505.8   546.1   588.2   635.7   712.2   960.5  4113.2 13801.5  37285.3    37291
read      382.7   350.8   160.7   212.3   224.6   319.2   397.7   452.1   495.4   544.5   598.4   676.0   932.8  3990.8 11534.6  53770.1    53818
read      418.5   430.7   160.7   216.8   229.2   354.8   461.6   519.5   554.7   590.7   634.3   703.9   949.8  4641.1 17324.3  30380.4    30297
read      413.7   356.0   160.7   216.9   229.4   353.0   457.7   516.9   554.4   592.7   638.1   707.8   940.6  4103.8 12277.9  31667.6    31569
read      408.0   416.6   160.7   214.7   227.3   340.3   436.5   498.6   540.9   583.4   632.3   706.9   960.8  5015.2 15073.1  38939.4    38927
read      437.2   592.2   173.5   238.9   261.0   402.1   458.9   487.2   506.7   530.9   559.2   606.4   855.1  7174.2 35514.3  10618.9    10652
read      364.1   387.2   160.7   214.5   226.5   312.2   365.6   399.5   428.7   468.0   526.9   625.8  1024.9  3994.0 11069.0  98052.1    98119
read      401.8   466.8   160.7   215.2   227.5   331.8   418.4   477.2   522.7   571.3   626.0   706.7   979.0  4933.2 20125.8  48168.2    48176
read      411.1   389.4   160.7   216.5   228.7   346.7   449.4   510.7   549.9   591.1   637.1   708.3   942.0  4199.1 12226.5  34882.1    34929
read      378.9   333.6   160.7   214.4   226.5   317.7   385.4   431.5   469.4   520.3   582.7   679.5  1030.7  4011.0 11501.4  69783.5    69735
read      433.0   421.0   160.7   224.7   240.4   392.9   488.4   534.1   562.1   590.7   628.7   687.5   879.8  4904.0 19354.6  20758.2    20753
read      375.6   429.6   160.7   214.2   226.3   313.6   372.7   412.6   445.8   491.0   551.2   652.8  1063.7  4978.8 15767.6  84687.7    84642
read      398.2   320.7   160.7   214.4   226.8   335.3   427.5   487.7   531.0   576.3   627.4   705.0   944.5  4003.0  9976.3  42279.1    42333
read      382.5   405.2   160.7   212.8   225.1   316.2   388.2   439.3   481.6   533.1   591.9   677.6  1007.4  4481.5 14698.7  61580.3    61587
read      368.5   355.9   160.7   212.4   224.4   309.8   369.6   410.8   446.2   492.2   552.8   648.0  1015.5  4141.4 12693.9  78132.2    77998
read      361.4   345.2   160.7   212.9   225.0   308.1   361.0   394.8   423.4   462.6   520.9   621.1  1015.3  4175.7 12795.5  97647.8    97625
read      423.1   366.8   160.7   220.3   234.0   375.0   477.4   528.1   558.5   589.2   627.7   686.7   884.5  4287.2 12157.0  23724.3    23781
read      381.4   405.4   160.7   215.5   227.3   318.0   386.2   433.0   471.1   520.6   580.8   675.2  1006.3  4748.9 14790.9  66702.4    66723
read      417.7   373.2   160.7   219.2   231.6   358.0   462.5   520.5   556.4   593.3   637.6   708.1   925.3  4234.2 12436.4  31008.5    31016
read      397.2   396.6   160.7   215.1   227.2   329.9   416.9   476.3   521.8   569.0   621.4   698.4   938.6  4370.9 13020.0  47294.4    47394
read      365.1   363.7   160.7   214.5   226.3   310.4   364.1   398.6   428.0   467.5   526.7   626.8  1023.1  4114.4 12911.2  95193.2    95335
read      438.1   510.7   187.4   267.1   291.8   395.3   438.7   463.1   481.1   502.9   533.4   582.7  1030.5  8693.5 15728.2   5248.7     5252
read      378.3   349.9   160.7   214.6   226.5   317.5   386.1   433.5   472.3   522.4   581.8   674.2   981.6  4165.3 12232.4  65857.4    65908
read      430.7   331.5   173.5   233.8   251.7   411.8   481.4   514.9   537.2   562.4   591.8   640.2   818.6  4249.0 12333.5  16869.1    16889
read      397.8   280.2   160.7   219.7   232.0   340.6   435.9   493.8   532.8   573.3   620.8   689.4   877.1  2596.1 10536.6  42851.0    42912
read      353.0   401.9   160.7   212.6   224.0   295.3   344.5   378.1   404.7   441.9   496.4   591.9   983.7  4386.3 14078.4  99841.1    99898
read      416.6   820.5   160.7   216.6   229.2   357.2   460.1   511.6   542.9   576.3   616.3   677.4   907.8  4929.2 12439.6  26488.9    26385
read      412.7   327.4   160.7   218.4   231.3   371.2   470.0   516.0   544.1   573.8   608.7   663.7   823.0  3537.2 10878.4  22651.9    22616
read      388.2   337.0   160.7   212.7   225.0   322.0   405.6   463.8   508.4   556.5   610.7   687.7   929.2  4157.3 11872.9  50723.0    50605
read      374.5   535.2   160.7   210.5   222.3   299.9   353.6   389.4   419.0   459.0   516.7   617.7  1652.5  4384.5 15943.7  90398.1    90283
read      413.1   332.4   160.7   220.9   235.0   369.4   465.9   512.9   541.8   573.6   610.9   667.5   831.3  3817.2 12225.9  26326.5    26273
read      377.3   232.5   160.7   221.3   234.2   327.6   405.0   459.2   498.1   538.1   581.0   636.8   767.2  2283.2  8778.3  48480.6    48521
read      397.7   244.0   160.7   223.9   238.3   354.7   448.7   498.4   530.0   561.9   595.7   646.1   778.4  2585.0 10106.8  34154.7    34058
read      338.9   174.3   160.7   218.3   228.9   300.2   349.5   387.1   417.7   455.8   503.9   569.6   703.3  1454.8  5810.3  75719.7    75648
read      423.5   250.4   160.7   236.2   254.0   408.4   480.2   514.0   537.0   562.6   592.0   637.8   771.9  2705.1 10866.8  19510.4    19482
read      425.4   292.5   160.7   241.6   261.6   413.8   471.2   500.0   520.2   542.6   572.1   616.9   737.0  3991.0 12136.1  15075.1    15054
read      337.7   171.5   160.7   217.8   228.3   299.4   348.6   385.9   416.3   454.4   502.1   565.2   689.8  1573.6  5863.9  75747.5    75754
read      437.1   386.0   187.4   281.4   306.3   404.8   446.6   469.6   489.0   509.5   541.6   591.5   799.8  6975.9 15385.2   5202.9     5187
read      437.5  1022.9   173.5   239.0   261.1   421.2   486.2   517.8   539.0   563.4   591.7   638.8   769.5  2468.4 13088.7  17661.1    17656
read      318.6   164.6   160.7   216.1   226.6   289.7   328.0   354.8   376.4   404.7   444.3   502.4   633.4  1590.5  5301.4  96378.6    96343
read      395.1   221.2   160.7   224.1   238.8   350.2   441.6   494.2   527.4   561.1   597.3   648.8   779.7  1879.2  8351.0  36745.8    36665
read      334.0   196.9   160.7   219.6   230.8   300.4   343.8   374.3   400.1   432.9   474.6   538.2   678.5  1914.1  8082.3  85205.0    85269
read      403.7   434.9   160.7   227.0   242.7   366.8   458.3   505.2   533.4   562.8   594.3   640.8   756.2  2098.2  9383.4  31469.8    31525
read      358.8   443.3   160.7   219.6   231.0   311.5   371.9   418.5   455.4   498.9   546.6   609.8   743.0  2200.7 10404.9  61962.5    61798
read      436.8   328.8   173.5   248.0   270.6   423.8   479.0   506.3   526.6   547.8   577.6   623.3   763.5  4246.1 12877.1  12242.7    12253
