Timestamp start: 1684982757549
Timestamp end: 1684984558076

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      415.7   401.9   160.7   215.8   228.3   348.8   452.7   513.6   551.8   590.7   636.9   709.5   933.1  4978.3 14938.8  34947.0    34929
read      382.9   359.2   160.7   214.1   226.1   317.3   387.4   434.0   472.4   521.8   581.4   677.7  1093.0  4021.3 12859.6  69670.7    69735
read      425.7   357.4   160.7   222.1   237.1   389.8   483.4   527.3   553.6   582.7   618.7   674.4   844.6  4489.2 11997.2  20801.1    20753
read      379.7   433.3   160.7   213.6   225.6   313.3   372.6   412.4   445.6   489.3   548.1   655.3  1174.7  4368.0 13623.6  84777.9    84642
read      403.3   358.4   160.7   215.5   227.9   339.5   434.1   495.4   537.2   580.4   631.8   711.4   957.4  4037.1 13068.4  42348.9    42333
read      385.3   352.9   160.7   215.0   227.0   321.8   396.2   447.2   489.0   538.9   597.5   686.2   992.6  4123.8 12142.6  61628.6    61587
read      384.3   413.1   160.7   214.4   226.4   315.7   379.2   421.6   456.9   503.4   565.1   667.1  1178.9  4365.4 14554.5  78037.9    77998
read      400.9   511.0   160.7   217.3   229.1   321.0   380.5   419.1   451.6   496.4   562.0   690.7  1673.7  4391.9 19805.4  97578.9    97625
read      429.5   344.1   160.7   222.1   236.5   383.4   489.0   537.8   568.0   599.9   639.6   705.3   899.7  3976.3 12510.3  23936.7    23781
read      392.5   505.7   160.7   215.6   227.6   321.6   394.7   444.1   485.0   534.3   593.9   690.0  1090.3  4511.8 15388.9  66714.9    66723
read      428.2   439.3   160.7   219.8   232.4   363.8   472.0   531.3   567.9   607.0   653.4   725.2   965.0  4645.0 16073.1  31027.1    31016
read      401.1   344.0   160.7   215.2   227.6   336.1   425.2   483.0   525.7   571.9   627.4   713.2  1017.7  4032.3 12551.5  47564.7    47394
read      391.2   466.9   160.7   217.5   229.2   320.2   379.9   418.7   451.3   495.8   558.0   676.7  1294.7  4334.0 15817.1  95297.2    95335
read      447.0   565.5   173.5   268.9   294.3   399.4   442.8   467.3   487.0   508.5   539.0   589.8  1237.9  8488.4 26100.3   5252.7     5252
read      383.4   421.7   160.7   214.1   226.2   317.9   387.7   435.0   474.0   522.9   580.1   670.2  1036.2  4182.2 16148.1  65683.1    65908
read      431.7   374.6   173.5   226.3   242.6   404.7   485.9   523.2   545.5   573.5   607.4   662.0   854.4  4698.9 11462.4  16936.3    16889
read      444.7   378.3   160.7   223.3   240.0   400.0   476.2   528.9   568.4   614.6   671.5   751.4   992.4  5139.1 12650.7  42945.9    42912
read      404.5   495.3   160.7   218.9   231.0   325.0   384.9   424.5   458.2   503.9   571.3   704.0  1663.5  4390.8 16527.6  99805.4    99898
read      428.1   414.6   160.7   220.6   234.2   372.2   476.9   530.4   563.1   596.8   639.1   709.1   929.7  5040.9 13729.1  26501.9    26385
read      441.2   532.5   160.7   222.1   236.5   386.2   485.7   533.3   563.2   594.3   635.1   700.0  1006.8  6995.6 28115.9  22641.2    22616
read      398.8   404.5   160.7   216.1   228.1   331.8   418.1   476.1   520.0   568.2   624.0   705.0   978.5  4364.4 12748.3  50501.7    50605
read      382.4   437.7   160.7   215.5   227.2   314.4   372.1   409.2   440.9   484.5   545.3   658.1  1245.4  4339.0 15872.5  90322.1    90283
read      420.4   358.0   160.7   220.1   233.1   368.4   470.8   522.9   554.0   587.4   629.4   691.4   910.3  4176.5 12773.8  26258.7    26273
read      405.4   417.2   160.7   217.6   229.4   338.4   426.5   484.7   527.2   573.4   629.0   714.1  1017.7  4694.7 12876.8  48456.7    48521
read      420.6   421.8   160.7   219.5   231.6   356.8   456.5   513.3   549.4   589.4   638.2   718.0  1001.9  5170.5 12599.6  34039.9    34058
read      384.0   385.0   160.7   216.8   228.1   319.4   385.8   429.3   465.1   512.1   574.1   679.2  1133.6  4008.5 14454.8  75606.4    75648
read      448.3   558.7   173.5   225.1   240.7   402.0   492.4   534.7   561.3   590.0   627.4   685.6   981.0  8076.0 30587.9  19605.3    19482
read      445.2   409.9   160.7   241.1   261.1   424.9   487.3   518.0   538.4   562.0   590.5   639.8   844.0  4937.3 16839.3  15069.8    15054
read      365.5   223.8   160.7   219.2   229.8   308.8   372.3   419.4   456.5   502.7   563.1   664.8   966.3  2287.5  6185.6  75621.1    75754
read      429.6   510.4   173.5   270.6   296.6   390.4   428.8   451.6   467.5   490.3   519.4   568.0   783.2  8103.0 18438.6   5204.3     5187
read      431.2   562.9   173.5   225.1   241.5   392.9   465.9   503.9   528.9   555.1   588.5   641.4   848.6  8438.9 29312.6  17642.0    17656
read      402.4   553.6   160.7   217.1   228.7   317.6   375.2   413.1   444.1   486.6   546.0   666.2  2887.2  5033.1 23979.2  96200.3    96343
read      405.5   318.5   160.7   216.9   229.1   345.8   445.6   503.8   541.7   582.4   630.5   701.2   907.4  3887.1 11063.0  36708.2    36665
read      394.6   486.2   160.7   214.7   226.3   312.4   372.4   411.4   443.7   486.9   546.6   660.3  2602.3  4379.7 15314.4  85439.6    85269
read      411.5   311.2   160.7   218.1   230.3   355.5   459.2   515.3   549.9   586.6   631.3   700.1   917.8  4206.4  9812.5  31532.7    31525
read      386.1   313.9   160.7   221.0   233.4   323.9   400.8   453.6   493.2   537.9   591.2   680.7   938.6  3731.3 11011.7  61777.7    61798
read      438.0   356.1   173.5   249.9   272.9   423.3   473.5   500.8   519.8   541.0   570.3   617.6   754.0  4372.8 13419.2  12250.7    12253
read      421.6   266.8   160.7   233.2   250.6   396.7   478.4   517.6   541.7   568.4   598.1   646.7   776.9  2802.6 12127.4  25699.4    25710
read      339.9   165.1   160.7   221.1   233.2   306.8   353.9   387.0   413.1   446.6   489.8   549.2   683.2  1557.9  6426.0  79948.7    79937
read      439.2   387.8   173.5   267.4   296.1   413.9   456.9   481.0   499.2   520.7   546.6   593.0   785.4  6705.3 15188.1   7323.9     7271
read      336.3   194.0   160.7   220.9   232.6   304.3   348.3   379.5   403.6   435.4   476.1   536.9   674.6  1898.9  7200.4  86016.2    85861
read      333.8   177.7   160.7   221.1   233.0   304.2   346.3   374.9   397.9   426.5   464.3   522.7   667.3  1914.6  7386.1  91235.0    91467
read      347.2   203.7   160.7   220.9   233.1   310.4   362.9   399.0   428.4   464.2   509.2   569.9   691.0  1989.0  6917.0  72292.3    72217
read      402.0   234.0   160.7   226.4   241.7   365.2   457.3   502.7   530.4   559.2   592.4   641.3   766.0  2294.6  8975.9  31049.0    31080
read      339.6   192.9   160.7   219.3   230.2   303.5   352.2   386.9   414.8   450.3   495.8   557.3   687.3  1823.7  7993.3  76756.8    76878
read      329.8   161.5   160.7   218.7   229.1   297.7   340.9   370.9   395.9   427.7   469.1   531.0   661.8  1743.5  6039.6  84679.4    84584
read      434.1   321.5   173.5   246.4   269.7   421.3   472.2   500.2   519.8   542.0   572.2   620.2   755.4  3926.4 14644.1  12514.4    12492
read      364.0   194.3   160.7   221.0   233.7   320.7   385.9   431.6   467.1   508.5   551.9   611.3   733.9  1900.3  8872.6  57067.7    57106
read      318.6   157.2   160.7   217.4   227.7   291.7   329.5   354.8   374.7   401.5   437.4   493.9   614.7  1840.0  5746.5  96292.7    96245
read      432.5   416.7   173.5   269.2   297.9   408.2   450.6   473.8   493.0   513.3   541.1   585.0   719.2  6335.4 17220.8   6754.2     6791
